Unnamed: 0,PID,X,age,choice_strategy,clear_instructions,dominant_hand,gender,keys,learning_strategy,race.x,race.y,American.Indian.or.Alaska.Native,Asian,Black.or.African.American,Decline.to.answer,Hispanic.or.Latino,Native.Hawaiian.or.Other.Pacific.Islander,White,version,key_acc,test_acc,training_acc
47,13920,47,29,I wasnt sure for the first couple rounds then I figured out there was a hierarchy of the symbols,No,Left,Male,First image,Once I learned the order I gave each symbol a value in my head,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.936,0.734265734265734
48,14000,48,29,Based on the frequency that I saw the item,I wasnt sure how I was supposed to determine which item was the correct one to choose,Left,Female,First image,I basically just tried to memorize the task,White,Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.71031746031746,0.5
49,14025,49,27,I tried out various options in the first two batches to confirm which ones are the right choice Then it was mostly me trying to remember but sometimes I tried to predict or see barely a bit of the second image that made me go incorrectly,No all was clear,Right,Male,Second image,I learned that green is the right one so I did always choose that apart from some flubs from apparently getting it wrong against another image which threw me off a bit Then I realized also the cosmic one with a gold ring was usually wrong,,,,,,,,,,250_Stims_1000_ISI,1,0.785714285714286,0.552447552447552
50,14054,50,29,Randomly the first couple of rounds I started to notice there was a right answer to specific combos but it was hard to remember them ,No,Right,Male,First image,Tried to combine certain patterns with a word and remember which ones it was right over ,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.668,0.577464788732394
55,14944,55,35,I ranked them generally in terms of successful effect and then I tried to remember results of individual pairings I maintained awareness of which were the top and bottom almost always succeeding and never succeeding in order to reduce the amount of information I would have to sort for the middle ones,No thank you,Right,Female,First image,I continually added ifthen results to my memory,,,,,,,,,,250_Stims_1000_ISI,1,0.888888888888889,0.715277777777778
57,15225,57,23,I tried to remember certain patterns by observing which images I chose that wielded me certain results for example If a certain image usually resulted in a red x I would choose the other image,no,Right,Female,Second image,Memorization of which images usually resulted in a red x compared to the other images so I could choose the opposite option,Black or African American,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.742063492063492,0.493055555555556
59,15337,59,27,I figured out within the first few rounds that there were certain pictures that would always get a red x and other pictures that were certain to get a green check mark,I was confused when I first read them about what I was suppose to be looking for in the pictures,Left,Female,Second image,Just remembering which ones were always wrong and which ones were always right,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.864541832669323,0.569444444444444
60,15558,60,36,i chose base on the example,none,Right,Male,First image,i use image as my strategy to chose ,,,,,,,,,,250_Stims_1000_ISI,1,0.50996015936255,0.447552447552448
62,15801,62,33,I thought I had a pattern going if I saw the blue shapes I wanted to select that one and that worked for a while I thought and then I decided to pick alternating images for the latter trials,No not at all,Right,Male,Second image,,Asian,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.511904761904762,0.506944444444444
67,16379,67,25,I didnt think to much about the choices at first but then I tried to choose based on the previous round to see if there was a pattern to go by,The instructions were clear to me,Right,Female,Second image,I used the context of previous rounds to try to discover if there was a pattern that should be followed,Black or African American,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.487903225806452,0.486111111111111
68,16402,68,25,Just a lucky guess ,Everything was clear for me,Right,Female,First image,Once Id get a green checkmark Id hit the same one until the red showed then Id switch back and forth,,,,,,,,,,250_Stims_1000_ISI,1,0.53469387755102,0.503649635036496
71,16895,71,27,I used a combination of each color and whether or not they appeared first or second to choose,no,Right,Male,Second image,there was an apparent pattern at times I would second guess myself and get the selection wrong then it would take a bit of time to get on track but once I found out where I was in the pattern I would switch my key presses to get back into sync,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.525896414342629,0.531468531468531
73,17029,73,24,First I believed there to be a pattern in first and second choice Then I found that certain images would beat others and believed some were weak to others and stronger than other ones Finally I realized they were ordered in a hierarchy and discovered the order from strongest to weakest shortly after,No,Right,Male,Second image,Through trial and error I identified the ordering of images from strongest to weakest,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.844621513944223,0.576388888888889
81,18045,81,31,By learning through previous trials,no,Right,Female,Second image,Just tried  to remember certain patterns and their correctness,,,,,,,,,,250_Stims_1000_ISI,1,0.812749003984064,0.548611111111111
83,18641,83,33,After doing the task for several rounds I noticed the items had a hierarchical pattern so I could tell which one would be correct,No,Right,Female,Second image,None really I just looked for patterns,,,,,,,,,,250_Stims_1000_ISI,1,0.896825396825397,0.676056338028169
86,18765,86,34,I just noticed which gave positive results and memorized them for the most part Kept choosing those,Nope,Right,Male,Second image,Trial and error was about it,,,,,,,,,,250_Stims_1000_ISI,1,0.857142857142857,0.631944444444444
87,18767,87,28,I decided which item to choose by pressing both keys at the same time Also every other block I choose the first correct answer until it is incorrect then I choose the other previous correct key until it is incorrect I alternated the keys,No,Right,Female,Second image,I pressed both keys to see whether I get it correct or incorrect My eyes are tired from looking at the screen too long,Asian,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.466135458167331,0.496503496503497
91,19108,91,32,I just went off of what had been used recently and guessed accordingly,No,Left,Female,First image,I tried counting how many times each was used to see if there was a pattern but I couldnt really find anything consistent,,,,,,,,,,250_Stims_1000_ISI,1,0.476190476190476,0.520833333333333
95,19295,95,30,Based on the pattern I found,no,Right,Male,Second image,find a pattern,Asian,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.896414342629482,0.818181818181818
96,19557,96,31,At first I was just guessing which one to choose but then I noticed a slight pattern,No,Right,Female,Second image,Pay attention to the images showing up and see if there is any pattern to the images,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.828571428571429,0.542857142857143
102,20187,102,34,I tried to find patterns with the images and thought some pictures were often the better choice when matched with certain other images I just tried to keep mental notes on which choices were correct even though it seemed to change a bit every round ,no,Right,Male,Second image,Try and memorize the result of each image pair and rank the images so that one image was almost always the correct choice over the other and on the other end one image was almost always the incorrect option I had mental notes as to which images were higher ranked than the others It did change a little throughout the experiment rounds but I adjusted my rankings as the rounds went on ,,,,,,,,,,250_Stims_1000_ISI,1,0.595238095238095,0.521428571428571
104,20867,104,32,what I found more visually appealing,no,Right,Other,Second image,I tried picking the best looking one of the two choices,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.512396694214876,0.507352941176471
106,21089,106,32,I have no idea it was so confusing in my head I tended to choose the colors I found more visually appealing I tried to notice if a pattern was forming between the multiple tests but couldnt keep track that long term,No,Right,Female,Second image,None really I tried to notice things but I couldnt really get a pattern or rythem working,,,,,,,,,,250_Stims_1000_ISI,1,0.50996015936255,0.545454545454545
111,21578,111,26,By pattern some of the times and then by color and then by shapes,No everything was clear ,Right,Female,First image,To see what the first picture was and go off that to see if it recurred in the next set,Hispanic or Latino,Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.515873015873016,0.527777777777778
113,21851,113,32,just guess,No,Right,Female,Second image,Nothing SirI just read the instructions carefully,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.484,0.475177304964539
114,21881,114,28,At first I just chose randomly and then reflexes kicked in at some point However I eventually established a pattern of which ones I got wrong previously and then applied to my next one,No,Right,Male,Second image,I remembered which ones I got wrong previously and used my memory the best way I could to make a choice,,,,,,,,,,250_Stims_1000_ISI,1,0.876494023904382,0.496503496503497
117,22223,117,23,I took the first few rounds to make observations on which things were correct most often and when two items are against each other which one ends up being correct Then I tried to answer correctly based off of those observations and adjust as needed,The instructions were clear and easy to follow,Left,Male,Second image,I just tried to relate each picture to something so I could remember it and then try to remember which ones are correct most often,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.813492063492063,0.486111111111111
118,22357,118,34,If I got a green check I thought about the colors in the image that I chose and tried to choose an image with similar colors,No,Right,Female,Second image,I looked at the colors and tried to determine which color was more prevalent in the correct images For example sometimes green was better than blue,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.576131687242798,0.510489510489511
120,22559,120,22,Which one had the most interesting pattern Then after a while I kind of memorized the hierarchy they have,no,Right,Female,First image,The more detailed patterns are usually worth more,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,0,0.873015873015873,0.661654135338346
123,22656,123,32,i didnt have a specific strategy to choose,no everything was very clear,Right,Female,First image,no particular strategy was use,Black or African American,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.438247011952191,0.510489510489511
125,22776,125,23,I chose the item out of my initial thought and didnt spend too much time contemplating my answer ,No instructions were clear,Right,Female,First image,The only strategy I used was going with my first thought every time on which one to choose,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.536290322580645,0.452554744525547
126,22805,126,36,Although I noticed patterns that changed round by round I went with my gut instinct in each choice,No,Left,Male,Second image,I tried to see if there was a pattern in the first 10 choices of the round and then base my choices off of that,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.476190476190476,0.444444444444444
130,22969,130,23,The item was most familiar but it felt so random,It seemed very random The same images over and over,Right,Female,Second image,The patterns,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.485355648535565,0.559440559440559
133,23103,133,34,After a few rounds it became obvious that the different images had different values almost like cards in a deck of playing cards Once I was aware of which images had a higher value relative to the other images I always chose the image with the highest value and as long as I didnt flub the key press it always worked   ,no,Right,Male,Second image,the strategy I used is exactly what I described in the previous text response ie learning the value of the images and choosing the higher value ,,,,,,,,,,250_Stims_1000_ISI,1,0.94047619047619,0.566433566433566
137,23617,137,26,I tried to identify similarities between all that I got correct ,no,Right,Female,Second image,Trying to identify successful patterns,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.491735537190083,0.514492753623188
140,23673,140,32,I tried to have a mental rank for each item where they would compare to each other Not necessarily an ordered system but very much a system where my line of thinking was this item beats these items but loses to these items and so I always tried to pick the winning item in each pair,Nope,Right,Male,Second image,I tried to keep track of a rank for each item I also learned that there was one specific item that was always the correct one and another that was always the wrong one I also kept mental names for certain items if they were primarily one color or has a signature shape as it was a quick way to process which item was which in my mind,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.797619047619048,0.645833333333333
143,24308,143,35,colors had a ranking patters that was learned over time Green was at the top and the sunny yellow and red was the worst,no,Right,Male,First image,Pattern repetition and rehearsing in my head after each incorrect iteration,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.936507936507937,0.727272727272727
151,24925,151,26,I figured out that the patterns had some sort of hierarchy to them and certain patterns had greater value than the others causing them to win more I figured out the pink pattern was the greatest one and beat everything else followed by the red pattern The pattern that did not beat anything was the blue and yellow so I used these rules to decide which key to press and used process of elimination for the rest of the patterns  ,no,Right,Female,Second image,I just figured out which was the greatest pattern and which was the least and used that rule to figure out as many as I could If it was the pink pattern I always knew to press the corresponding button to pink and if it was the blue and yellow pattern I knew everything beat it I figured out that there was a hierarchy to it and tried to understand it ,,,,,,,,,,250_Stims_1000_ISI,1,0.821428571428571,0.559440559440559
153,25001,153,31,I couldnt decide Felt like it was hypnotizing me looking in one spot for a whole hour,,Right,Female,Second image,None this thing is pretty tough,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.456349206349206,0.5
161,25827,161,31,I figured out the pattern around the 3rd set  Initially I was lost and couldnt keep track of the colors but eventually I picked up on it  After that I felt I was very consistent with a few mistakes mostly because I would temporary want to hit K for the second image,Everything was clear,Right,Male,Second image,I tried to assign a point value to each of the images the higher the value meant it was the correct one,,,,,,,,,,250_Stims_1000_ISI,1,0.968253968253968,0.652777777777778
166,26806,166,40,For the color shape,no,Right,Male,First image,focus to learn what comes image correct,,,,,,,,,,250_Stims_1000_ISI,1,0.796812749003984,0.587412587412587
168,27045,168,24,As time went on a pattern began to emerge in which certain symbols were better than others,No the instructions made sense,Right,Male,Second image,Over time I was able to place the symbols in order from best to worst,,,,,,,,,,250_Stims_1000_ISI,1,0.861111111111111,0.569444444444444
169,27050,169,32,At first I made by choices based off what I liked I then started to choose based on what got the green check mark,none,Right,Male,First image,I began to see a pattern that some images got the check mark more often and began to choose that,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.848,0.587412587412587
170,27070,170,34,I was basing it on patterns of lines and then the amount of corrects corresponding to left and right after the fact to see if it was like 2 corrects left and 2 corrects right and then it repeats itself,instructions were fine,Left,Male,First image,I was checking to see if a pattern amount of corrects on left or right and adjust accordingly,,,,,,,,,,250_Stims_1000_ISI,1,0.504,0.479166666666667
173,27170,173,22,Through the first two rounds I chose randomly because I was trying to figure out which item was better than another After I figured out how most of the items ranked then I started to remember which item to choose against another item It was only near the last two rounds when I truly began to understand how each item ranked against another ,,Right,Female,First image,I used my memory to choose items I would remember certain colors and shapes within the colors to learn,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.670634920634921,0.514084507042254
174,27218,174,30,At first I chose by picking the one I liked most then I chose by trying to remember patterns ,,Right,Female,First image,Remembering patterns ,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.69047619047619,0.622377622377622
180,27885,180,25,I decided the items based on pattern,no,Right,Male,Second image,To recognize patterns more effectively ,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.473895582329317,0.453900709219858
182,27953,182,35,I was trying to figure out if there was some kind of pattern or something that I should be figuring out So I was trying to figure that out and I dont think I was successful but I was trying different ways of making my choices,No I thought the instructions were pretty clear And the two keys to choose was very easy to do,Right,Female,Second image,Again I was just trying to figure out if there was a pattern or if certain pictures were the right answers and if certain ones were the wrong answers I dont think I figured anything out but thats what I was trying to do,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.54,0.566433566433566
186,28260,186,32,I looked at the pattern,,Left,Male,First image,I tried to focus on the pattern,,,,,,,,,,250_Stims_1000_ISI,1,0.52191235059761,0.482014388489209
189,28462,189,30,colors,no,Right,Female,First image,memorizing colors and shapes,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.744939271255061,0.552447552447552
190,28482,190,25,I looked at the picture and tried to match,no,Right,Male,First image,I used simple matching,,,,,,,,,,250_Stims_1000_ISI,1,0.488,0.443661971830986
191,28489,191,33,There was a specific ranking  I had a hard time figuring it out though,,Right,Male,Second image,Ranking,AsianWhite,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.756972111553785,0.685314685314685
193,28538,193,36,I tried to remember a pattern but it was difficult,No,Right,Female,First image,I tried to remember a pattern but it was difficult,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.48995983935743,0.454545454545455
195,28802,195,29,At first I figured out the best and worst ones After that I think I just deduced the correct order of value through trial and error,No it was all very clear,Right,Female,First image,I tried to anchor my choices to the top and bottom images and build from secondbest and secondworse,White,Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.944444444444444,0.75
206,29963,206,29,I guessed at first and then I noticed that there seemed to be a hierarchy or that some were the right ones compared to others I was able to get to the point where I could get about 80 by the final few rounds,No,Left,Male,Second image,I just used trial and error until I started to notice patterns,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.796812749003984,0.591549295774648
207,30014,207,27,I started to notice a pattern of what prompted a green check mark and tried to remember it,yes the instructions did not indicate what basis to use when choosing a response but I figured that was a part of the purpose of the game,Right,Female,First image,I watched for patterns of correct vs incorrect responses,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.828685258964143,0.629370629370629
208,30030,208,29,When deciding which item to choose I tried to identify a pattern within the different pairings Additionally I observed how the position of item pairings influenced different outcomes,I did not find anything in the instructions to be confusing or unclear,Right,Male,First image,When learning this task my strategy consisted of observing if different item pairings would result in similar outcomes,,,,,,,,,,250_Stims_1000_ISI,1,0.50597609561753,0.549295774647887
210,30139,210,31,At first I randomly choose which picture I thought was the most beautiful After the second trial I began to see certain patterns and began choosing based on whether I thought Id get a green check After the 4th round I really started trying to remember which combinations of pictures produced a green check so that I could get the bonus in each round After that I began to forget some of the patterns and simply chose pictures randomly Overall very interesting study,No it was clearly written,Right,Male,Second image,I did not use any particular strategy I tried to remember the D key was for choosing the second image and then the K key was for choosing the first image,,,,,,,,,,250_Stims_1000_ISI,1,0.479166666666667,0.521428571428571
213,30294,213,33,At first I chose randomly until I started seeing a pattern between which received check marks and which received red X,No,Right,Female,First image,I tried remembering which were correct and which were incorrect,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.857142857142857,0.640845070422535
214,30433,214,30,Honestly it felt random At first I thought it was based on the patterns but it felt really random ,No,Right,Female,Second image,I tried to see what patterns were getting check marks at first But then it just felt random,,,,,,,,,,250_Stims_1000_ISI,1,0.472222222222222,0.503496503496504
222,30923,222,33,I started with choosing randomly and tried to figure out patterns from there I was not always able to remember the specific correct choice for each pair but I figured out that there was one and I did my best to choose that one each time,Everything was clear,Right,Female,Second image,I tried to figure out a pattern based on the results I was getting from choosing randomly,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.527777777777778,0.531468531468531
223,31030,223,36,I somehow started remembering some of the items that were correct incorrect just by trial and error,No,Right,Female,First image,I tried to memorize the incorrect items However this switched it seems depending on what other item it was paired with So I tried to remember both correct and incorrect items,AsianBlack or African American,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.721115537848606,0.48951048951049
224,31273,224,31,At first I chose what I liked better but as the game went on you began to learn the sequence,No,Right,Male,Second image,I tried to remember what was graded as correct vs incorrect,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.948207171314741,0.597222222222222
225,31302,225,26,Which one look prettiest at first but after awhile I noticed a pattern from my mistakes and noticed that reddish one was never a correct option,no,Right,Female,First image,Paying attention to the pattern of correct and incorrect images,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.777777777777778,0.461538461538462
233,31670,230,24,I decided to choose based on the ones that were my favorite,no,Right,Female,First image,I didnt use any strategy I went based on which one I preferred ,Hispanic or Latino,Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.476190476190476,0.559440559440559
234,31968,231,35,At first it was just random but then I started to learn which colorsshapes won out over others and built a hierarchy in my mind with higher shapes that won out over low shapes which I learned through trial and error,No,Right,Female,First image,Learning pairs and when that pair came up which one won for that round and remembering that,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.900793650793651,0.756944444444444
236,32085,233,31,i figured out there was a certain ranking to each picture the explosion was the top and it ranked downward from there ,no,Right,Female,Second image,at first i had no strategy then i started figuring out the hierarchy order of the photos,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.864541832669323,0.475524475524476
237,32185,234,26,I picked what I thought fit best,I wasnt completely certain on what to click,Left,Female,Second image,I clicked at random,,,,,,,,,,250_Stims_1000_ISI,1,0.508196721311475,0.428571428571429
238,32229,235,32,I tried to figure out the pattern and I stick with it ,No,Right,Female,Second image,Recognize the pattern and then choose accordingly ,Black or African American,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.503968253968254,0.520833333333333
240,32790,237,28,I chose which image looked better than the other There was a pattern 2 pairs of images always went with one another So I tried to decide which image was correct out the pair ,na,Right,Female,First image,Try to remember the image in the pair that always got the green check ,Black or African American,Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.75,0.538461538461538
243,33002,240,20,There were patterns that were low chance so what I did was I choose the top 3 that were highest correct rate nd the bottom two that were the lowest chance of succeeding The 100 win rate pattern was Purple and then it was 90 blue and third was blue yellow pattern The least win rates were fire pattern and yellow purple pattern ,No everything was clear to me  ,Right,Male,First image,Pick the highest win rated patterns and did not choose bottom two lowest patterns at all times,Hispanic or Latino,Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.956175298804781,0.783216783216783
245,33213,242,30,I tried to remember which color schemes were positive and negative but it was hard because they kept switching ,I thought the experiment would have been easier if the buttons were reversed but I got used to it more as it went on ,Left,Female,Second image,The only thing I tried to do is remember the colors and then associate it with either positive or negative feelings ,AsianNative Hawaiian or Other Pacific Islander,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.619047619047619,0.461538461538462
246,33215,243,32,I gradually learned which colorsitems never won and those which seemed to always win Then I started testing the frequent winners against the others until I ironed in a hierarchy of quality between each item That way I knew the which one was the best 2nd best 3rd and so on,No,Right,Male,Second image,I simply used my memory of the repetition and the likely winners to understand the worthwhile items and the less worthwhile items by rank which fully solidified in my memory throughout the last three rounds,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.936507936507937,0.597222222222222
249,33307,246,32,During the first round I thought that initially there was some sort of pairing process that maybe the order of images were presented in played a part in  By the second round I realized that what was more likely was that there was some sort of value associated with each image so there was likely a comparison between the two and I was expected to choose the image with the higher value  I identified the highest and lowest images the foggy hazy blue one being the lowest and the other blue image with the four red dots on it being the highest  From there it was just a matter of trying to remember results of each in relation to one another  After repeating the process numerous times I was able to build a relatively decent map of each image and where the lie in relation to one another,Its probably taken into consideration already but I did become somewhat confused at points trying to select the correct image as the D key is further to the left so I would expect it to be associated it with the first image  Because of the speed of the exercise there were a few points I selected the wrong option because of the association of the images to keys on the keyboard,Right,Male,Second image,I put it in the previous response but basically it was trial and error initially but I figured out what was going on pretty quickly so from there it was just a matter of repetition until a map of the hierarchy of images was more solidified mentally,,,,,,,,,,250_Stims_1000_ISI,1,0.828,0.699300699300699
251,33604,248,29,i TRIED TO FIGURE OUT A PATTERN,na,Right,Male,First image,Most of it was random I could not figure out a pattern,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.425101214574899,0.532374100719424
254,33743,251,28,I tried to memorize which items would give me a pass when paired against a specific other item,I didnt get a detailed enough explanation for how to know that Id been doing the experiment right I only understood as I learned from trial and error,Right,Female,First image,None really I just tried to memorize the results each pairing gave me over the course of the rounds,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,0,0.832,0.559440559440559
255,33771,252,33,I thought that it might be a repeating pattern from the pair 2 times before  so I tried to go with one that was still a bit fresh in my mind,No,Right,Female,Second image,I tried to recall the designs from two trials prior,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.58,0.549295774647887
258,34009,255,29,I had a general idea of what I was looking to try and figure out but my choices were ultimately slightly informed guesses ,nothing in the instructions was unclear,Right,Other,Second image,I didnt have any real strategy The only two figures I recalled were what I dubbed barbie camo and Tiger eye generally won over everything else so when they appeared I chose them,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.531746031746032,0.482517482517482
266,34405,263,26,Based on previously seeing the items,none,Right,Male,Second image,Following paterns and trends,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.504,0.517482517482518
276,35180,273,22,Some rounds I tried to notice patterns but most of the times it was completely random,Not at all,Right,Male,First image,A couple rounds maybe had a very loose pattern I was noticing but I didnt have much of a strategy I just pressed whatever button,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.450199203187251,0.555555555555556
277,35209,274,30,I tried to see if there was a rule or pattern to follow like almost is there was a caste system where there were one or two that never are right and one or two that are almost always right But also it did seem to change maybe through different rounds,No everything made sense after I figured out the intuitiveness of the buttons were switched,Right,Male,Second image,I tried to test comparisons to see which was right and try to remember it for the next time and then test out the inverse decision,,,,,,,,,,250_Stims_1000_ISI,1,0.563492063492063,0.48951048951049
